symbol,rule,family,signal_time,entry_time,exit_time,entry,exit,ret,mae,mfe,hold_min,exit_reason,ret_30m,ret_2h,ret_4h,ret_12h,ret_24h,runup_24h,dd_from_24h_high,qv30,volr20,volr5_20,tsell,tsell5,body_drop,drop_2m,drop_5m,close_pos,upper_wick,lower_wick,range_pct,break_depth,red_streak,qv_over_prev6max,signal_time_iso,entry_time_iso,exit_time_iso
1000SATSUSDT,robust_momentum_uptrend_dump_1m,momentum_dump,1758899760000,1758899820000,1758900060000,4.85e-05,4.646e-05,0.04126185567010312,0.01443298969072182,0.05434782608695654,5,trailing_stop,-0.11818181818181817,0.09480812641083514,0.14657210401891252,0.21553884711779436,0.19753086419753085,0.2864721485411139,0.187604690117253,42908523.6984145,1.4424830269061553,2.438860750173152,0.5294511659363654,0.5495404092815772,0.0280561122244489,0.026104417670682722,0.14612676056338025,0.41666666666666596,0.0,0.020040080160320585,0.04809619238476948,0.010309278350515427,1,0.35994579740009475,2025-09-26T15:16+00:00,2025-09-26T15:17+00:00,2025-09-26T15:21+00:00
1000SATSUSDT,robust_momentum_uptrend_dump_1m,momentum_dump,1758990240000,1758990300000,1758990360000,6.15e-05,5.8277e-05,0.05160650406504077,0.03089430894308931,0.06585788561525141,2,trailing_stop,-0.09824046920821117,0.12021857923497281,0.1603773584905661,0.28125,0.2732919254658386,0.35761589403973515,0.17004048582995945,108423566.2646166,2.533751760320679,0.9916483639423339,0.5490338386298124,0.513281219304556,0.06959152798789697,0.08345752608047685,0.04945904173106641,0.09615384615384723,0.001512859304084757,0.007564296520423682,0.07866868381240542,0.01300813008130075,2,2.925550428158714,2025-09-27T16:24+00:00,2025-09-27T16:25+00:00,2025-09-27T16:26+00:00
1000SATSUSDT,robust_momentum_uptrend_dump_1m,momentum_dump,1768326420000,1768326480000,1768326780000,2.03e-05,2.1010499999999998e-05,-0.03579999999999992,0.039408866995074066,0.00995024875621886,6,stop,-0.05990783410138234,0.17919075144508678,0.2142857142857144,0.22891566265060237,0.2670807453416151,0.28301886792452846,0.09333333333333338,10762975.590742301,2.2918618900614507,1.1672726545274534,0.6335727023708859,0.539612126302077,0.019230769230769208,0.023923444976076458,0.037735849056603765,0.37500000000000105,0.004807692307692261,0.014423076923076948,0.038461538461538415,0.019607843137254832,1,1.4301693309989867,2026-01-13T17:47+00:00,2026-01-13T17:48+00:00,2026-01-13T17:53+00:00
1000SATSUSDT,robust_other_pullback_dump_1m,other,1757480760000,1757480820000,1757482140000,4.58e-05,4.4642e-05,0.024483842794759927,0.028384279475982543,0.03619909502262453,23,trailing_stop,-0.03578947368421059,0.06264501160092828,0.15656565656565657,0.22133333333333338,0.23118279569892475,0.23783783783783785,0.09486166007905128,14256801.928201701,4.095140615259991,1.6823238185934986,0.6476907772393333,0.5896691124621231,0.029661016949152543,0.029661016949152574,0.03578947368421059,0.27272727272727326,0.0042372881355931796,0.012711864406779683,0.046610169491525404,0.028384279475982543,1,3.253895223078288,2025-09-10T05:06+00:00,2025-09-10T05:07+00:00,2025-09-10T05:29+00:00
1000SATSUSDT,robust_other_pullback_dump_1m,other,1758899520000,1758899580000,1758899640000,5.18e-05,4.6864000000000004e-05,0.09448957528957516,0.007722007722007707,0.1163793103448274,2,trailing_stop,-0.03351955307262566,0.1822323462414579,0.2069767441860464,0.29104477611940305,0.2783251231527095,0.37665782493368694,0.1306532663316583,32074634.2617789,5.620770843123455,2.5919330022949114,0.5615529308735863,0.5648414775888096,0.08787346221441124,0.10824742268041232,0.1306532663316583,0.24637681159420305,0.0035149384885764163,0.029876977152899834,0.1212653778558875,0.05394990366088637,5,2.6594557675271213,2025-09-26T15:12+00:00,2025-09-26T15:13+00:00,2025-09-26T15:14+00:00
1000SHIBUSDT,robust_downtrend_range_flush_1m,downtrend_continuation,1760130960000,1760131020000,1760131080000,0.009032,0.0086153,0.04533596102745798,0.01826837909654566,0.05885111371629548,2,trailing_stop,-0.20554921415400818,-0.2050606220347917,-0.21709786276715404,-0.24411027568922306,-0.23979163165854467,0.0023263542705218576,0.25475660983444526,85995772.257895,2.86397994681092,2.0429256525083694,0.5782628222657185,0.5748301854478417,0.08263205921119332,0.1090980701063411,0.16175653140633683,0.024193548387097016,0.0032444489506234454,0.0021291696238467184,0.08800567778566348,0.08963306808134375,7,1.4628655333857747,2025-10-10T21:16+00:00,2025-10-10T21:17+00:00,2025-10-10T21:18+00:00
1000SHIBUSDT,robust_downtrend_upper_break_1m,downtrend_continuation,1760131020000,1760131080000,1760131140000,0.008739,0.00782144,0.10419599496509893,0.00492047144982255,0.12848657024793386,2,trailing_stop,-0.23382430299842183,-0.23247848234674162,-0.24357309789665027,-0.2704124227750877,-0.2663700470114171,0.024501758499413828,0.2802075611564122,92432296.221082,1.8500239460765737,2.1557917076501725,0.5496630160318771,0.5694689519473395,0.032440212577502195,0.1136017851709098,0.17835652500940202,0.31334332833583295,0.01826837909654564,0.02313994685562454,0.07384853852967238,0.03535873669756273,8,0.682606755970428,2025-10-10T21:17+00:00,2025-10-10T21:18+00:00,2025-10-10T21:19+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1760260140000,1760260200000,1760261160000,0.1152,0.11923199999999999,-0.03579999999999992,0.046875,0.00805040252012601,17,stop,-0.03898489022455964,0.1091627324405049,0.07428144830160499,0.23891519586741272,0.5452348993288592,0.767541839398127,0.0819776714513557,18544940.061580002,3.1273308115361016,1.5192183748463752,0.6052967853440057,0.5811024439390337,0.029751369574378468,0.05102629626576538,0.07048849414614455,0.26447876447876423,0.0023598820058996087,0.011546565528866381,0.04365781710914446,0.010597637248088931,6,1.3934004962975288,2025-10-12T09:09+00:00,2025-10-12T09:10+00:00,2025-10-12T09:26+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1760272740000,1760272800000,1760273520000,0.12427,0.12861945,-0.03579999999999992,0.04289048040556831,0.005420711974110093,13,stop,-0.06973438084549188,-0.03162240049848131,0.03789965773436843,0.3360197721899849,0.7386379527338831,0.9089513281130048,0.1068247126436781,23467467.76714,3.0667191523706667,1.685036684232483,0.6642636382278895,0.6043384464606557,0.024709758393473592,0.02814038927538487,0.04632967707294633,0.19230769230768965,0.00329463445246316,0.00666771258236578,0.034672105428302534,0.025496662108903667,7,1.8758035551802854,2025-10-12T12:39+00:00,2025-10-12T12:40+00:00,2025-10-12T12:52+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1760275260000,1760275320000,1760277660000,0.12161,0.12586635,-0.03579999999999992,0.0391415179672725,0.024256716920744603,40,stop,-0.049593876913464396,-0.040223992428425004,0.04472870879120894,0.31984815618221263,0.8014803849000742,0.8684170121295873,0.1257902298850574,13149845.175139999,3.587887334816955,2.120096641421691,0.673189555579883,0.6279105889990579,0.02107634140455311,0.025700560448358667,0.0412825967068462,0.13136729222520233,0.00498753117206979,0.003941758506958445,0.030005631083581345,0.02128358944859876,9,2.0658850240381237,2025-10-12T13:21+00:00,2025-10-12T13:22+00:00,2025-10-12T14:01+00:00
