symbol,day,labels,event_count
BEATUSDT,2025-11-21,core_trade,1
FOLKSUSDT,2025-11-21,core_trade,1
JELLYJELLYUSDT,2025-11-21,core_trade,1
PIEVERSEUSDT,2025-11-21,core_trade,1
SAPIENUSDT,2025-11-21,core_trade,1
SOONUSDT,2025-11-21,core_trade,1
PIEVERSEUSDT,2025-11-22,core_trade,1
PIPPINUSDT,2025-11-23,core_trade,1
PIEVERSEUSDT,2025-11-24,core_trade,1
MONUSDT,2025-11-25,core_trade,1
PIEVERSEUSDT,2025-11-25,core_trade,1
PIPPINUSDT,2025-11-25,core_trade,1
MONUSDT,2025-11-26,core_trade,1
SOONUSDT,2025-11-26,core_trade,1
BANANAS31USDT,2025-11-27,core_trade,1
MUSDT,2025-11-27,core_trade,1
PIPPINUSDT,2025-11-28,core_trade,1
TURBOUSDT,2025-11-28,core_trade,1
ORCAUSDT,2025-11-29,core_trade,1
PIPPINUSDT,2025-11-29,core_trade,1
SAHARAUSDT,2025-11-29,core_trade,1
4USDT,2025-11-30,core_trade,1
PIEVERSEUSDT,2025-11-30,core_trade,1
PIPPINUSDT,2025-11-30,core_trade,1
SQDUSDT,2025-11-30,core_trade,1
JELLYJELLYUSDT,2025-12-01,core_trade,1
PIPPINUSDT,2025-12-01,core_trade,1
ZEREBROUSDT,2025-12-01,core_trade,1
BANANAS31USDT,2025-12-02,core_trade,1
JELLYJELLYUSDT,2025-12-02,core_trade,1
HUSDT,2025-12-03,core_trade,1
PIPPINUSDT,2025-12-03,core_trade,1
SAPIENUSDT,2025-12-04,core_trade,1
ACEUSDT,2025-12-05,core_trade,1
LUNA2USDT,2025-12-05,core_trade,1
1000LUNCUSDT,2025-12-06,core_trade,1
PIPPINUSDT,2025-12-06,core_trade,1
FHEUSDT,2025-12-07,core_trade,1
MOODENGUSDT,2025-12-07,core_trade,1
PIPPINUSDT,2025-12-07,core_trade,1
AIOTUSDT,2025-12-08,core_trade,1
BEATUSDT,2025-12-08,core_trade,1
FHEUSDT,2025-12-08,core_trade,1
LABUSDT,2025-12-08,core_trade,1
POWERUSDT,2025-12-08,core_trade,1
AIOTUSDT,2025-12-09,core_trade,1
HYPERUSDT,2025-12-09,core_trade,1
JELLYJELLYUSDT,2025-12-09,core_trade,1
BEATUSDT,2025-12-10,core_trade,1
FHEUSDT,2025-12-10,core_trade,1
FHEUSDT,2025-12-11,core_trade,1
JELLYJELLYUSDT,2025-12-11,core_trade,1
PIEVERSEUSDT,2025-12-11,core_trade,1
JELLYJELLYUSDT,2025-12-12,core_trade,1
FHEUSDT,2025-12-14,core_trade,1
FOLKSUSDT,2025-12-14,core_trade,1
ACEUSDT,2025-12-15,core_trade,1
AIOTUSDT,2025-12-15,core_trade,1
BASUSDT,2025-12-15,core_trade,1
FHEUSDT,2025-12-15,core_trade,1
FOLKSUSDT,2025-12-15,core_trade,1
RIVERUSDT,2025-12-15,core_trade,1
ACEUSDT,2025-12-16,core_trade,1
BASUSDT,2025-12-16,core_trade,1
BEATUSDT,2025-12-16,core_trade,1
EDENUSDT,2025-12-16,core_trade,1
FHEUSDT,2025-12-16,core_trade,1
RAVEUSDT,2025-12-16,core_trade,1
FOLKSUSDT,2025-12-17,core_trade,1
PIPPINUSDT,2025-12-17,core_trade,1
RIVERUSDT,2025-12-17,core_trade,1
RIVERUSDT,2025-12-18,core_trade,1
BEATUSDT,2025-12-19,core_trade,1
FHEUSDT,2025-12-19,core_trade,1
JELLYJELLYUSDT,2025-12-19,core_trade,1
PIPPINUSDT,2025-12-19,core_trade,1
POWERUSDT,2025-12-19,core_trade,1
FOLKSUSDT,2025-12-20,core_trade,1
NOMUSDT,2025-12-20,core_trade,1
4USDT,2025-12-21,core_trade,1
FOLKSUSDT,2025-12-21,core_trade,1
OPENUSDT,2025-12-21,core_trade,1
BEATUSDT,2025-12-22,core_trade,1
JELLYJELLYUSDT,2025-12-22,core_trade,1
RAVEUSDT,2025-12-22,core_trade,1
HUSDT,2025-12-23,core_trade,1
JELLYJELLYUSDT,2025-12-23,core_trade,1
ZBTUSDT,2025-12-24,core_trade,1
POWERUSDT,2025-12-25,core_trade,1
ZBTUSDT,2025-12-25,core_trade,1
BEATUSDT,2025-12-26,core_trade,1
FOLKSUSDT,2025-12-26,core_trade,1
ZBTUSDT,2025-12-26,core_trade,1
ONTUSDT,2025-12-29,core_trade,1
BEATUSDT,2025-12-30,core_trade,1
LITUSDT,2025-12-30,core_trade,1
OPENUSDT,2025-12-30,core_trade,1
ZBTUSDT,2025-12-30,core_trade,1
MONUSDT,2026-01-02,core_trade,1
BLESSUSDT,2026-01-03,core_trade,1
BUSDT,2026-01-03,core_trade,1
CLOUSDT,2026-01-03,core_trade,1
MYXUSDT,2026-01-03,core_trade,1
PIEVERSEUSDT,2026-01-03,core_trade,1
RIVERUSDT,2026-01-05,core_trade,1
CLOUSDT,2026-01-06,core_trade,1
PIPPINUSDT,2026-01-06,core_trade,1
BABYUSDT,2026-01-07,core_trade,1
FHEUSDT,2026-01-07,core_trade,1
GUNUSDT,2026-01-08,core_trade,1
币安人生USDT,2026-01-08,core_trade,1
SAHARAUSDT,2026-01-11,core_trade,1
1000SATSUSDT,2026-01-13,core_trade,1
DASHUSDT,2026-01-13,core_trade,1
FOLKSUSDT,2026-01-13,core_trade,1
BERAUSDT,2026-01-14,core_trade,1
DASHUSDT,2026-01-14,core_trade,1
GUNUSDT,2026-01-14,core_trade,1
币安人生USDT,2026-01-14,core_trade,1
币安人生USDT,2026-01-15,core_trade,1
RIVERUSDT,2026-01-16,core_trade,1
